BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1,1100,25860,35357.95271,HomeImp,Other,10.5,0,0,94.36666667,1,9,
1,1300,70053,12837.71193,HomeImp,Other,7,0,2,121.8333333,0,14,
1,1500,13500,16700,HomeImp,Other,4,0,0,149.4666667,1,10,
1,1500,,,,,,,,,,,
0,1700,97800,112000,HomeImp,Office,1.844562957,0,0,93.33333333,0,14,
1,1700,30548,40320,HomeImp,Other,9,0,0,101.4660019,1,8,37.11361356
1,1800,48649,6204.975419,HomeImp,Other,5,3,2,77.1,1,17,
1,1800,21408.21177,43034,HomeImp,Other,11,0,0,88.76602988,0,8,36.88489409
1,1354.712295,32700,46740,HomeImp,Other,3,0,2,216.9333333,1,12,
1,2000,,62250,HomeImp,Sales,16,0,0,115.8,0,13,
1,2000,1631.096842,,,,14.28507773,,,,,,
1,2000,20627,29800,HomeImp,Office,11,0,1,122.5333333,1,9,
1,2000,28230.83059,55000,HomeImp,Other,3,0,0,86.06666667,2,25,
1,2000,64536,9244.249636,,Mgr,2.49872765,0,0,147.1333333,0,24,
1,48.09568396,71000,83850,HomeImp,Other,2.739984424,0,1,123,0,16,
1,1656.805415,24280,34687,HomeImp,Other,,0,1,300.8666667,0,8,
1,2200,90957,102600,HomeImp,Mgr,7,2,6,122.9,1,22,
1,2200,23030,,,,19,,,,,,3.7113123
1,2300,23635.61471,40150,HomeImp,Other,2.325227054,0,0,54.6,1,16,
0,2300,102370,120953,HomeImp,Office,2,0,0,90.99253347,0,13,31.58850318
1,2300,19477.85593,46200,HomeImp,Other,3,0,1,122.2666667,1,14,
1,2400,50000,73395,HomeImp,ProfExe,5,1,0,,1,0,
1,970.3886987,28000,40800,HomeImp,Mgr,12,0,0,67.2,2,22,
1,936.1871932,18000,,HomeImp,Mgr,22,,2,121.7333333,0,10,
1,2400,,17180,HomeImp,Other,,0,0,14.56666667,3,4,
0,2400,34863,47471,HomeImp,Mgr,5.520879169,0,0,70.49108003,1,21,38.26360073
0,2400,98449,117195,HomeImp,Office,4,0,0,93.81177486,0,13,29.68182705
1,2500,15000,20200,HomeImp,,18,0,0,136.0666667,1,19,
1,2078.498247,11007.28683,36350,HomeImp,Other,9.607961555,1,2,276.9666667,0,9,
0,2500,7229,44516,HomeImp,Self,,0,0,208,0,12,
0,2500,71408,50999.38057,HomeImp,ProfExe,8,0,0,255.7333333,0,12,
1,2800,50795,63100,HomeImp,Self,26,2,15,145.6333333,3,45,
1,2800,4000,48848.13895,HomeImp,Other,4.714301879,4,0,112.6333333,2,9,
1,2900,78600,113000,DebtCon,ProfExe,6,1,0,165.3333333,2,26,
0,2900,103949,112505,HomeImp,Office,0.720334112,0,0,96.10232967,0,13,30.05113629
0,2900,61597.05998,120702,HomeImp,Office,2,0,0,101.5402975,0,13,29.91585903
1,2900,5927.647207,67996,HomeImp,Other,16,3,0,122.2046628,2,8,36.211348
1,2900,61962,70915,DebtCon,Mgr,1.861300819,0,0,282.8016592,3,37,49.20639579
0,2360.127614,104570,121729,HomeImp,Office,2,0,0,85.8843719,0,14,32.05978327
0,1445.964384,7000,20300,HomeImp,Other,2.662224985,0,0,50.8,5,9,
1,3000,,8800,HomeImp,Other,2,0,1,77.76666667,0,3,
1,1351.921104,,33000,HomeImp,Other,1,0,1,23.3,1,2,
1,3000,119826,193500,HomeImp,Other,8,0,0,130.0333585,0,27,
1,3000,20000,29750,DebtCon,Other,2,0,0,187.0666667,0,12,
1,3000,,14500,HomeImp,Other,3,0,0,9.3,14,2,
1,3000,,14100,HomeImp,Other,1,0,0,104.2,0,19,
1,3000,47000,82700,HomeImp,ProfExe,10,0,1,262.1666667,5,26,
1,3000,34542,45900,HomeImp,Mgr,7.353115933,0,2,62.36666667,0,10,
